סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
2530 ,באר יעקב ,43 ,רמלה ,43 ,רמלה ,0 , ,29151 ,3721 ,7727 ,10710 ,2856 ,1588 ,2549
2550 ,גדרה ,44 ,רחובות ,44 ,רחובות ,0 , ,28910 ,2271 ,7513 ,9769 ,4219 ,1979 ,3159
2560 ,ערד ,62 ,באר שבע ,62 ,באר שבע ,0 , ,32207 ,3616 ,6150 ,10282 ,3431 ,2786 ,5942
2600 ,אילת ,62 ,באר שבע ,63 ,אילת ,0 , ,68283 ,3987 ,10606 ,26724 ,9737 ,7240 ,9989
2610 ,בית שמש ,11 ,ירושלים ,13 ,בית שמש ,0 , ,150795 ,25131 ,50342 ,52703 ,9719 ,5704 ,7196
2620 ,קרית אונו ,52 ,רמת גן ,52 ,רמת גן ,0 , ,43091 ,2833 ,9721 ,12805 ,6421 ,3454 ,7857
2630 ,קרית גת ,61 ,אשקלון ,61 ,אשקלון ,0 , ,66505 ,7366 ,13854 ,23812 ,6015 ,5723 ,9735
2640 ,ראש העין ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,72661 ,8971 ,15177 ,27913 ,7247 ,6348 ,7005
2650 ,רמת השרון ,51 ,תל אביב ,57 ,הרצליה ,0 , ,52356 ,3182 ,10652 ,14340 ,7876 ,4674 ,11632
2660 ,יבנה ,44 ,רחובות ,44 ,רחובות ,0 , ,55685 ,6174 ,12596 ,20273 ,5445 ,4027 ,7170
2710 ,אום אל-פחם ,32 ,חדרה ,23 ,עפולה ,0 , ,58273 ,5672 ,14907 ,24384 ,6386 ,3935 ,2989
2720 ,טירה ,41 ,השרון ,41 ,נתניה ,0 , ,27902 ,2325 ,6108 ,11864 ,3097 ,2283 ,2225
2730 ,טייבה ,41 ,השרון ,41 ,נתניה ,0 , ,46119 ,4139 ,11524 ,18820 ,5117 ,3515 ,3004
2742 ,זבארגה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,18 ,0 ,0 ,1 ,7 ,9 ,1
2800 ,קרית שמונה ,21 ,צפת ,21 ,צפת ,0 , ,24328 ,1634 ,4112 ,8821 ,2863 ,2724 ,4174
3000 ,ירושלים ,11 ,ירושלים ,11 ,ירושלים ,0 , ,1042259 ,118840 ,263231 ,375666 ,91177 ,70618 ,122727
3400 ,חברון ,77 ,חברון ,11 ,ירושלים ,0 , ,617 ,75 ,211 ,236 ,33 ,34 ,28
3488 ,כפר עציון ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,999 ,122 ,340 ,318 ,95 ,36 ,88
3555 ,נתיב הגדוד ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,234 ,26 ,46 ,89 ,18 ,12 ,43
3556 ,אלמוג ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,313 ,26 ,87 ,116 ,45 ,29 ,10
3557 ,קדומים ,73 ,טול כרם ,47 ,כפר סבא ,0 , ,4799 ,511 ,1592 ,1647 ,377 ,214 ,458
3558 ,תומר ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,369 ,43 ,73 ,150 ,12 ,29 ,62
3560 ,אלקנה ,73 ,טול כרם ,42 ,פתח תקוה ,0 , ,4201 ,463 ,1046 ,1471 ,373 ,250 ,598
3561 ,מגדל עוז ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,404 ,47 ,89 ,186 ,42 ,26 ,14
3563 ,תקוע ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,4620 ,615 ,1677 ,1609 ,304 ,164 ,251
3564 ,כוכב השחר ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2709 ,407 ,984 ,945 ,148 ,142 ,83
3565 ,רימונים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,781 ,89 ,172 ,297 ,93 ,59 ,71
3566 ,יפית ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,272 ,28 ,74 ,91 ,32 ,11 ,36
3567 ,סלעית ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,1482 ,144 ,529 ,455 ,190 ,70 ,94
3568 ,ריחן ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,403 ,51 ,121 ,138 ,41 ,32 ,20
3569 ,מבוא דותן ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,588 ,109 ,178 ,205 ,36 ,16 ,44
3570 ,אריאל ,73 ,טול כרם ,48 ,אריאל ,0 , ,20609 ,1441 ,3754 ,7309 ,2479 ,2275 ,3351
3571 ,שבי שומרון ,72 ,שכם ,41 ,נתניה ,72 ,שומרון ,1113 ,175 ,364 ,375 ,64 ,42 ,93
3572 ,כפר תפוח ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,1498 ,264 ,522 ,558 ,59 ,27 ,68
3573 ,נוה צוף ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1312 ,144 ,375 ,483 ,99 ,75 ,136
3574 ,בית אל ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,5921 ,754 ,1713 ,2234 ,458 ,333 ,429
3575 ,בית חורון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1506 ,175 ,470 ,533 ,140 ,72 ,116
3576 ,מצפה יריחו ,75 ,ירדן )יריחו( ,11 ,ירושלים ,73 ,מטה בנימין ,2593 ,381 ,837 ,979 ,142 ,107 ,147
3578 ,שדמות מחולה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,795 ,102 ,264 ,296 ,49 ,38 ,46
3579 ,אלון מורה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,1945 ,356 ,630 ,718 ,59 ,70 ,112
3598 ,ארגמן ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,164 ,11 ,28 ,61 ,11 ,19 ,34
3599 ,מחולה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,689 ,87 ,229 ,236 ,54 ,12 ,71
3601 ,קליה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,489 ,51 ,98 ,183 ,47 ,63 ,47
3602 ,ראש צורים ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1033 ,111 ,404 ,359 ,102 ,21 ,36
3603 ,הר גילה ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1672 ,118 ,500 ,569 ,210 ,121 ,154
3604 ,אלון שבות ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,3479 ,336 ,867 ,1320 ,365 ,227 ,364
3605 ,משואה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,322 ,53 ,67 ,115 ,38 ,5 ,44
3606 ,גלגל ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,211 ,15 ,34 ,92 ,15 ,38 ,17
3607 ,ייט"ב ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,370 ,64 ,106 ,132 ,23 ,21 ,24
3608 ,מעלה אפרים ,75 ,ירדן )יריחו( ,23 ,עפולה ,0 , ,1730 ,176 ,410 ,582 ,165 ,154 ,243
3609 ,חמרה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,221 ,24 ,55 ,70 ,30 ,5 ,37
3610 ,מצפה שלם ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,229 ,16 ,37 ,90 ,29 ,46 ,11
3611 ,קרית ארבע ,77 ,חברון ,11 ,ירושלים ,0 , ,8225 ,1003 ,2140 ,3040 ,620 ,499 ,923
3612 ,בקעות ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,223 ,17 ,65 ,61 ,38 ,6 ,36
3613 ,גיתית ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,555 ,58 ,249 ,172 ,33 ,14 ,29
3614 ,מכורה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,219 ,18 ,56 ,71 ,31 ,9 ,34
3615 ,פצאל ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,415 ,61 ,91 ,148 ,31 ,13 ,71
3616 ,מעלה אדומים ,76 ,בית לחם ,11 ,ירושלים ,0 , ,40674 ,3300 ,8827 ,14975 ,4749 ,3828 ,4995
3617 ,עופרה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,3277 ,308 ,950 ,1243 ,344 ,202 ,230
3618 ,אלעזר ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,2680 ,258 ,867 ,935 ,346 ,124 ,150
3619 ,רועי ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,170 ,7 ,35 ,58 ,17 ,16 ,37
3620 ,נערן ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,114 ,22 ,22 ,54 ,8 ,5 ,3
3638 ,כפר אדומים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,4836 ,517 ,1579 ,1725 ,529 ,274 ,212
3639 ,ורד יריחו ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,414 ,28 ,127 ,146 ,56 ,25 ,32
3640 ,קרני שומרון ,73 ,טול כרם ,48 ,אריאל ,0 , ,10478 ,1349 ,2681 ,3893 ,742 ,756 ,1057
3641 ,שילה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,5047 ,902 ,1967 ,1679 ,222 ,112 ,165
3643 ,חיננית ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,1678 ,190 ,604 ,608 ,136 ,92 ,48
3644 ,גבעון החדשה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1247 ,106 ,158 ,498 ,148 ,163 ,174
3645 ,בית הערבה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,456 ,90 ,142 ,180 ,39 ,2 ,3
3646 ,חמדת ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,327 ,46 ,128 ,118 ,33 ,2 ,0
3647 ,יקיר ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2653 ,356 ,979 ,928 ,189 ,86 ,115
3648 ,מתתיהו ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,931 ,102 ,298 ,341 ,79 ,39 ,72
3649 ,שקד ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,1097 ,135 ,318 ,389 ,112 ,56 ,87
3650 ,אפרת ,76 ,בית לחם ,11 ,ירושלים ,0 , ,13317 ,1477 ,3923 ,4904 ,998 ,874 ,1141
3651 ,מעלה מכמש ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1905 ,231 ,633 ,709 ,176 ,87 ,69
3652 ,בית אריה ,74 ,ראמאללה ,43 ,רמלה ,0 , ,5647 ,428 ,1418 ,2001 ,837 ,470 ,493
3653 ,מעלה עמוס ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,987 ,242 ,325 ,349 ,22 ,29 ,20
3654 ,ברקן ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2169 ,169 ,522 ,744 ,352 ,171 ,211
3655 ,ניל"י ,74 ,ראמאללה ,43 ,רמלה ,73 ,מטה בנימין ,1952 ,150 ,582 ,659 ,296 ,157 ,108
3656 ,כרמל ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,547 ,87 ,174 ,201 ,29 ,38 ,18
3657 ,מעון ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,639 ,101 ,241 ,233 ,22 ,39 ,3
3658 ,עטרת ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,694 ,95 ,286 ,228 ,33 ,38 ,14
3659 ,פסגות ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2207 ,364 ,759 ,777 ,130 ,89 ,88
3660 ,עמנואל ,73 ,טול כרם ,48 ,אריאל ,0 , ,4918 ,925 ,1486 ,1749 ,271 ,239 ,248
3709 ,מבוא חורון ,74 ,ראמאללה ,43 ,רמלה ,73 ,מטה בנימין ,2646 ,315 ,1117 ,846 ,228 ,52 ,88
3710 ,ברכה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,3031 ,539 ,1192 ,1030 ,127 ,65 ,78
3712 ,ענב ,73 ,טול כרם ,41 ,נתניה ,72 ,שומרון ,1068 ,171 ,363 ,370 ,46 ,46 ,72
3713 ,נעמ"ה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,233 ,40 ,35 ,102 ,6 ,31 ,19
3715 ,עלמון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1545 ,145 ,378 ,600 ,171 ,131 ,120
3717 ,חרמש ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,286 ,17 ,56 ,89 ,38 ,41 ,45
3719 ,תלם ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,532 ,92 ,216 ,171 ,27 ,19 ,7
3720 ,שערי תקווה ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,6079 ,473 ,1589 ,2150 ,738 ,497 ,632
3722 ,אשכולות ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,616 ,40 ,191 ,234 ,84 ,42 ,25
3723 ,פני חבר ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,602 ,106 ,232 ,186 ,45 ,20 ,13
3724 ,נגוהות ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,489 ,97 ,192 ,165 ,32 ,3 ,0
3725 ,נווה דניאל ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,2671 ,258 ,802 ,991 ,273 ,189 ,158
3726 ,נוקדים ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,2597 ,428 ,813 ,961 ,206 ,78 ,111
3727 ,עלי זהב ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,4681 ,993 ,1746 ,1678 ,145 ,59 ,60
3730 ,גבעת זאב ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,21500 ,3053 ,6179 ,7646 ,1487 ,1268 ,1867
3743 ,טנא ,77 ,חברון ,62 ,באר שבע ,78 ,הר חברון ,1074 ,169 ,369 ,375 ,74 ,50 ,37
3744 ,ברוכין ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2121 ,452 ,869 ,709 ,77 ,2 ,12
3745 ,מצדות יהודה ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,668 ,115 ,195 ,256 ,22 ,44 ,36
3746 ,קרית נטפים ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,945 ,133 ,358 ,339 ,67 ,21 ,27
3747 ,דולב ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1618 ,218 ,503 ,618 ,109 ,103 ,67
3748 ,עתניאל ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,910 ,111 ,315 ,353 ,62 ,42 ,27
3749 ,יצהר ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,2084 ,481 ,801 ,679 ,76 ,32 ,15
3750 ,אלפי מנשה ,73 ,טול כרם ,47 ,כפר סבא ,0 , ,8599 ,532 ,2059 ,2912 ,1367 ,738 ,991
3751 ,מגדלים ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,562 ,132 ,141 ,221 ,30 ,21 ,17
3752 ,מעלה לבונה ,74 ,ראמאללה ,48 ,אריאל ,73 ,מטה בנימין ,803 ,133 ,228 ,301 ,54 ,45 ,42
3754 ,אספר ,77 ,חברון ,11 ,ירושלים ,76 ,גוש עציון ,1098 ,250 ,412 ,370 ,21 ,24 ,21
3756 ,סוסיה ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,1520 ,253 ,494 ,581 ,72 ,81 ,39
3759 ,אדורה ,77 ,חברון ,13 ,בית שמש ,78 ,הר חברון ,513 ,73 ,186 ,185 ,29 ,22 ,18
3760 ,אורנית ,73 ,טול כרם ,42 ,פתח תקוה ,0 , ,9870 ,675 ,2586 ,3277 ,1462 ,853 ,1017
3762 ,איתמר ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,1373 ,231 ,510 ,466 ,70 ,59 ,37
3763 ,גבע בנימין ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,5939 ,628 ,1834 ,2205 ,603 ,365 ,304
3764 ,חגי ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,757 ,125 ,262 ,288 ,38 ,37 ,7
3765 ,עלי ,72 ,שכם ,48 ,אריאל ,73 ,מטה בנימין ,4385 ,733 ,1408 ,1608 ,313 ,164 ,159
3766 ,כרמי צור ,77 ,חברון ,11 ,ירושלים ,76 ,גוש עציון ,1122 ,137 ,420 ,413 ,83 ,49 ,20
3767 ,נחליאל ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,769 ,130 ,297 ,265 ,25 ,30 ,22
3768 ,פדואל ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2256 ,301 ,806 ,829 ,177 ,105 ,38
3769 ,הר אדר ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,4441 ,189 ,1071 ,1421 ,756 ,409 ,595
3770 ,חשמונאים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,3105 ,257 ,567 ,1246 ,282 ,353 ,400
3777 ,סנסנה , , , , , , ,741 ,120 ,287 ,259 ,74 ,1 ,0
3778 ,עץ אפרים ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,2616 ,321 ,875 ,933 ,235 ,130 ,122
3779 ,כוכב יעקב ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,10050 ,1814 ,3437 ,3704 ,532 ,298 ,265
3780 ,ביתר עילית ,76 ,בית לחם ,11 ,ירושלים ,0 , ,66713 ,12185 ,25744 ,22846 ,3660 ,1325 ,953
3781 ,קדר ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1599 ,129 ,410 ,639 ,221 ,132 ,68
3782 ,רותם ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,272 ,39 ,119 ,83 ,30 ,1 ,0
3784 ,שמעה ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,959 ,206 ,270 ,363 ,57 ,37 ,26
3785 ,משכיות ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,321 ,75 ,150 ,91 ,5 ,0 ,0
3786 ,אבנת ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,235 ,50 ,94 ,86 ,5 ,0 ,0
3787 ,נעלה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2571 ,220 ,840 ,863 ,385 ,121 ,142
3788 ,טלמון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,5454 ,782 ,2241 ,1817 ,473 ,109 ,32
3790 ,נופים ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,1122 ,157 ,369 ,379 ,80 ,67 ,70
3791 ,צופים ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,2583 ,285 ,750 ,991 ,255 ,168 ,134
3793 ,אבני חפץ ,73 ,טול כרם ,41 ,נתניה ,72 ,שומרון ,2312 ,348 ,667 ,904 ,231 ,114 ,48
3794 ,בת עין ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1773 ,298 ,548 ,666 ,105 ,81 ,75
3795 ,רבבה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,3120 ,466 ,1266 ,1075 ,228 ,65 ,20
3796 ,כפר האורנים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2429 ,48 ,659 ,824 ,547 ,279 ,72
3797 ,מודיעין עילית ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,83255 ,15886 ,35175 ,26348 ,3878 ,996 ,972
3822 ,רחלים , , , , , , ,998 ,228 ,399 ,341 ,24 ,2 ,4
3823 ,גני מודיעין , , , , , , ,3473 ,369 ,1119 ,1342 ,264 ,183 ,196
3824 ,עמיחי , , , , , , ,263 ,38 ,137 ,68 ,20 ,0 ,0
3825 ,מבואות יריחו , , , , , , ,238 ,56 ,117 ,57 ,6 ,1 ,1
4000 ,חיפה ,31 ,חיפה ,31 ,חיפה ,0 , ,324291 ,19116 ,48781 ,105041 ,39340 ,32661 ,79352
4001 ,בוקעאתא ,29 ,גולן ,21 ,צפת ,0 , ,6860 ,483 ,1547 ,2871 ,952 ,487 ,520
4002 ,אלי-עד ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,511 ,64 ,128 ,187 ,45 ,19 ,68
4003 ,אל-רום ,29 ,גולן ,21 ,צפת ,71 ,גולן ,533 ,35 ,118 ,186 ,71 ,61 ,62
4004 ,כפר חרוב ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,589 ,47 ,112 ,230 ,63 ,66 ,71
4005 ,חספין ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,1571 ,178 ,544 ,533 ,141 ,75 ,100
4006 ,קשת ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,880 ,114 ,330 ,283 ,53 ,43 ,57
4007 ,יונתן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,798 ,109 ,254 ,296 ,60 ,42 ,37
4008 ,מעלה גמלא ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,638 ,73 ,161 ,244 ,41 ,40 ,79
4009 ,שעל ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,375 ,51 ,91 ,132 ,23 ,26 ,52
4010 ,אודם ,29 ,גולן ,21 ,צפת ,71 ,גולן ,203 ,32 ,43 ,80 ,7 ,16 ,25
4011 ,אבני איתן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,884 ,133 ,306 ,323 ,40 ,31 ,51
4012 ,אניעם ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,576 ,30 ,97 ,236 ,91 ,62 ,60
4013 ,אורטל ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,392 ,39 ,84 ,160 ,49 ,42 ,18
4014 ,נטור ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,604 ,69 ,233 ,209 ,64 ,22 ,7
4015 ,בני יהודה ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,1307 ,83 ,274 ,432 ,163 ,141 ,214
4017 ,אלוני הבשן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,458 ,52 ,177 ,162 ,26 ,31 ,10
4019 ,מיצר ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,270 ,55 ,78 ,104 ,19 ,12 ,2
4021 ,גבעת יואב ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,750 ,55 ,205 ,238 ,105 ,27 ,120
4022 ,גשור ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,344 ,29 ,79 ,125 ,46 ,44 ,21
4024 ,קלע ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,428 ,47 ,113 ,148 ,58 ,25 ,37
4025 ,קדמת צבי ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,632 ,78 ,130 ,263 ,45 ,61 ,55
4026 ,חד-נס ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,949 ,55 ,192 ,341 ,160 ,116 ,85
4028 ,כנף ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,498 ,31 ,127 ,197 ,67 ,74 ,2
4035 ,נמרוד , , , , , , ,22 ,0 ,3 ,10 ,3 ,5 ,1
4100 ,קצרין ,29 ,גולן ,22 ,טבריה ,0 , ,8812 ,581 ,1730 ,2938 ,1095 ,873 ,1595
4101 ,מרום גולן ,29 ,גולן ,21 ,צפת ,71 ,גולן ,842 ,58 ,177 ,290 ,130 ,77 ,110
4201 ,מג'דל שמס ,29 ,גולן ,21 ,צפת ,0 , ,11676 ,802 ,2480 ,4714 ,1775 ,933 ,972
4203 ,מסעדה ,29 ,גולן ,21 ,צפת ,0 , ,4219 ,307 ,1055 ,1669 ,571 ,287 ,330
4204 ,מבוא חמה ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,595 ,53 ,128 ,193 ,66 ,39 ,116
4301 ,אפיק ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,403 ,29 ,95 ,138 ,41 ,37 ,63
4303 ,נווה אטי"ב ,29 ,גולן ,21 ,צפת ,71 ,גולן ,225 ,22 ,39 ,81 ,23 ,11 ,49
4304 ,נוב ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,1053 ,121 ,371 ,361 ,73 ,30 ,97
4501 ,ע'ג'ר ,29 ,גולן ,21 ,צפת ,0 , ,2790 ,248 ,740 ,1275 ,276 ,134 ,117
4502 ,עין קנייא ,29 ,גולן ,21 ,צפת ,0 , ,2480 ,203 ,575 ,1013 ,334 ,175 ,180
4503 ,עין זיוון ,29 ,גולן ,21 ,צפת ,71 ,גולן ,505 ,58 ,126 ,175 ,64 ,30 ,52
4551 ,נאות גולן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,718 ,54 ,204 ,240 ,94 ,42 ,84
4701 ,רמת מגשימים ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,836 ,90 ,269 ,291 ,54 ,51 ,81
4702 ,רמות ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,669 ,51 ,170 ,189 ,103 ,30 ,126
5000 ,תל אביב - יפו ,51 ,תל אביב ,51 ,ת"א - מרכז ,0 , ,565977 ,34499 ,72308 ,224640 ,69317 ,49986 ,115227
6000 ,באקה אל-גרביה ,32 ,חדרה ,32 ,חדרה ,0 , ,31142 ,2853 ,7821 ,13031 ,3380 ,2146 ,1911
6100 ,בני ברק ,52 ,רמת גן ,54 ,בני ברק ,0 , ,218949 ,36009 ,66848 ,74104 ,13208 ,10109 ,18671
6200 ,בת ים ,53 ,חולון ,53 ,חולון ,0 , ,155695 ,7691 ,20353 ,47135 ,20630 ,17061 ,42825
6300 ,גבעתיים ,52 ,רמת גן ,52 ,רמת גן ,0 , ,63866 ,4536 ,9729 ,23273 ,8121 ,5330 ,12877
6400 ,הרצליה ,51 ,תל אביב ,57 ,הרצליה ,0 , ,116006 ,7599 ,18938 ,37689 ,14921 ,10681 ,26178
6500 ,חדרה ,32 ,חדרה ,32 ,חדרה ,0 , ,108271 ,8530 ,20019 ,37076 ,12632 ,10298 ,19716
6600 ,חולון ,53 ,חולון ,53 ,חולון ,0 , ,212914 ,13947 ,36798 ,67864 ,27045 ,20382 ,46878
6700 ,טבריה ,22 ,כנרת ,22 ,טבריה ,0 , ,51572 ,5432 ,9798 ,18048 ,5380 ,4752 ,8162
6800 ,קרית אתא ,31 ,חיפה ,31 ,חיפה ,0 , ,64746 ,4890 ,11350 ,21913 ,7496 ,6485 ,12612
6900 ,כפר סבא ,42 ,פתח תקווה ,47 ,כפר סבא ,0 , ,111051 ,7368 ,20987 ,34483 ,14458 ,9545 ,24210
7000 ,לוד ,43 ,רמלה ,43 ,רמלה ,0 , ,88645 ,9823 ,19691 ,31038 ,8891 ,6687 ,12515
7100 ,אשקלון ,61 ,אשקלון ,61 ,אשקלון ,0 , ,162942 ,13047 ,30044 ,56373 ,18099 ,15436 ,29943
