סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
1098 ,מרכז שפירא ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,2503 ,300 ,651 ,886 ,201 ,223 ,242
1102 ,צוקי ים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,265 ,15 ,52 ,70 ,46 ,26 ,56
1103 ,גני הדר ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,380 ,30 ,75 ,134 ,50 ,42 ,49
1104 ,פוריה - כפר עבודה ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,373 ,28 ,67 ,150 ,38 ,45 ,45
1105 ,פוריה - נווה עובד ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,1528 ,160 ,320 ,560 ,156 ,142 ,190
1108 ,אומן ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,671 ,68 ,140 ,259 ,79 ,55 ,70
1110 ,חבר ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,787 ,102 ,205 ,308 ,88 ,47 ,37
1112 ,יודפת ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1025 ,86 ,305 ,343 ,157 ,46 ,88
1113 ,צור הדסה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,10769 ,1252 ,2925 ,3855 ,1241 ,733 ,763
1114 ,שריגים )לי-און( ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1061 ,49 ,220 ,389 ,138 ,172 ,93
1115 ,אביבים ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,495 ,30 ,124 ,182 ,71 ,32 ,56
1117 ,יעל ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,37 ,4 ,5 ,17 ,4 ,6 ,1
1123 ,אדרת ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,948 ,78 ,269 ,318 ,150 ,65 ,68
1124 ,נאות הכיכר ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר ,294 ,18 ,54 ,93 ,45 ,16 ,68
1125 ,אלמגור ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,440 ,39 ,107 ,107 ,84 ,13 ,90
1126 ,אילות ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,389 ,30 ,74 ,152 ,34 ,27 ,72
1127 ,מעלה גלבוע ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,791 ,85 ,318 ,272 ,49 ,22 ,45
1128 ,מי עמי ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,400 ,28 ,107 ,125 ,48 ,31 ,61
1129 ,גרופית ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,398 ,21 ,72 ,132 ,50 ,43 ,80
1130 ,כפר רוזנואלד )זרעית( ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,278 ,15 ,44 ,86 ,56 ,19 ,58
1132 ,שניר ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,685 ,55 ,156 ,242 ,95 ,61 ,76
1133 ,ורדון ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,291 ,21 ,55 ,125 ,27 ,36 ,27
1134 ,יד השמונה ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,293 ,18 ,83 ,105 ,38 ,9 ,40
1136 ,צוחר ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,627 ,54 ,98 ,284 ,57 ,69 ,65
1137 ,קרית יערים ,11 ,ירושלים ,13 ,בית שמש ,0 , ,7110 ,1311 ,2183 ,2599 ,347 ,319 ,351
1138 ,יעד ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,843 ,45 ,198 ,276 ,126 ,97 ,101
1139 ,כרמיאל ,24 ,עכו ,20 ,כרמיאל ,0 , ,53953 ,3160 ,8813 ,17617 ,6853 ,5503 ,12007
1140 ,מדרשת בן גוריון ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,1794 ,122 ,478 ,600 ,281 ,150 ,163
1141 ,מבוא מודיעים ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,251 ,17 ,50 ,106 ,13 ,14 ,51
1143 ,נס עמים ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,488 ,49 ,168 ,162 ,74 ,11 ,24
1145 ,אלומה ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,1230 ,257 ,404 ,417 ,50 ,59 ,43
1146 ,עלומים ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,540 ,58 ,123 ,208 ,34 ,41 ,76
1147 ,נטועה ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,366 ,33 ,76 ,117 ,50 ,31 ,59
1148 ,צור נתן ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,310 ,19 ,57 ,95 ,59 ,11 ,69
1149 ,עזר ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,817 ,52 ,148 ,316 ,71 ,151 ,79
1150 ,צופר ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,513 ,50 ,96 ,207 ,41 ,58 ,61
1151 ,פארן ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,555 ,49 ,119 ,195 ,49 ,57 ,86
1152 ,אשלים ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,699 ,67 ,180 ,266 ,87 ,39 ,60
1153 ,כישור ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,136 ,1 ,2 ,47 ,40 ,25 ,21
1154 ,מלכישוע ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,67 ,21 ,16 ,27 ,0 ,2 ,1
1155 ,מגן שאול ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,738 ,93 ,203 ,247 ,68 ,28 ,99
1156 ,סמר ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,293 ,9 ,43 ,128 ,31 ,55 ,27
1157 ,אחווה ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,198 ,2 ,10 ,46 ,9 ,24 ,107
1158 ,יהל ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,332 ,30 ,73 ,101 ,40 ,44 ,44
1160 ,שכניה ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,874 ,45 ,209 ,300 ,128 ,105 ,87
1161 ,רהט ,62 ,באר שבע ,62 ,באר שבע ,0 , ,71998 ,11368 ,23240 ,28674 ,4850 ,2071 ,1795
1162 ,בית רימון ,23 ,עפולה ,23 ,עפולה ,3 ,הגליל התחתון ,980 ,155 ,401 ,309 ,61 ,33 ,21
1163 ,מורן ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,522 ,42 ,116 ,190 ,69 ,44 ,61
1165 ,שילת ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,804 ,64 ,218 ,245 ,114 ,66 ,97
1166 ,כפר רות ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,309 ,53 ,57 ,102 ,19 ,15 ,63
1167 ,קיסריה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,7032 ,335 ,1302 ,2143 ,984 ,893 ,1375
1169 ,הוואשלה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,2343 ,223 ,949 ,916 ,138 ,63 ,54
1170 ,סייד )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,2158 ,194 ,1011 ,782 ,69 ,45 ,57
1171 ,לוטם ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,809 ,46 ,234 ,256 ,144 ,75 ,54
1172 ,תובל ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,437 ,29 ,86 ,157 ,52 ,74 ,39
1173 ,לפידות ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,152 ,11 ,18 ,55 ,10 ,14 ,44
1174 ,מנוף ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,955 ,44 ,246 ,318 ,140 ,98 ,109
1175 ,עידן ,62 ,באר שבע ,62 ,באר שבע ,54 ,הערבה התיכונה ,493 ,26 ,134 ,171 ,73 ,41 ,48
1176 ,ספיר ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,595 ,49 ,163 ,202 ,80 ,53 ,48
1177 ,טללים ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,640 ,43 ,202 ,253 ,102 ,30 ,10
1178 ,מורשת ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1763 ,138 ,534 ,650 ,206 ,139 ,96
1179 ,קורנית ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,940 ,50 ,244 ,302 ,135 ,125 ,84
1180 ,צביה ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,342 ,16 ,59 ,101 ,47 ,62 ,57
1181 ,טל-אל ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1369 ,80 ,322 ,490 ,199 ,136 ,142
1182 ,אלון הגליל ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1210 ,75 ,280 ,432 ,138 ,181 ,104
1183 ,כליל ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,873 ,82 ,237 ,297 ,122 ,62 ,73
1184 ,מתת ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,239 ,18 ,42 ,97 ,30 ,23 ,29
1185 ,פלך ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,217 ,32 ,67 ,87 ,21 ,5 ,5
1186 ,הושעיה ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,2234 ,171 ,635 ,804 ,246 ,221 ,157
1187 ,עיר אובות ,62 ,באר שבע ,62 ,באר שבע ,54 ,הערבה התיכונה ,60 ,3 ,24 ,15 ,9 ,6 ,3
1188 ,אשחר ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1042 ,87 ,359 ,359 ,149 ,50 ,38
1190 ,מצפה נטופה ,23 ,עפולה ,23 ,עפולה ,3 ,הגליל התחתון ,1154 ,126 ,349 ,409 ,94 ,84 ,92
1191 ,בר יוחאי ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,1228 ,122 ,435 ,424 ,158 ,58 ,31
1192 ,ערערה-בנגב ,62 ,באר שבע ,62 ,באר שבע ,0 , ,19603 ,3245 ,6799 ,7556 ,1145 ,456 ,402
1195 ,ניצנה )קהילת חינוך( ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,266 ,15 ,30 ,193 ,18 ,8 ,2
1196 ,מחנה יתיר ,62 ,באר שבע ,62 ,באר שבע ,0 , ,267 ,59 ,128 ,75 ,2 ,0 ,3
1197 ,נאות סמדר ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,233 ,14 ,36 ,96 ,17 ,43 ,27
1198 ,כרמים ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,453 ,51 ,169 ,153 ,46 ,23 ,11
1199 ,עדי ,24 ,עכו ,24 ,עכו ,9 ,עמק יזרעאל ,2017 ,100 ,426 ,700 ,278 ,265 ,248
1200 ,מודיעין-מכבים-רעות ,43 ,רמלה ,43 ,רמלה ,0 , ,99640 ,6349 ,25736 ,32919 ,15862 ,8508 ,10266
1201 ,כמון ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,831 ,45 ,210 ,294 ,109 ,97 ,76
1202 ,מכמנים ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,599 ,48 ,159 ,207 ,69 ,52 ,64
1203 ,הררית ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,689 ,49 ,222 ,207 ,99 ,39 ,73
1204 ,גילון ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1291 ,71 ,274 ,482 ,181 ,155 ,128
1205 ,מנות ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,555 ,67 ,122 ,213 ,54 ,52 ,47
1206 ,גיתה ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,295 ,9 ,69 ,92 ,40 ,43 ,42
1207 ,לבון ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,747 ,22 ,241 ,235 ,157 ,42 ,50
1208 ,הילה ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,656 ,22 ,127 ,245 ,99 ,94 ,69
